beian,c_0,c_1,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_2,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_3,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_4,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_5,c_50,c_6,c_7,c_8,c_9,c_name,category,e_name,o_name,others,url
国产备案:京G妆网备字2014002161,水,丙二醇,银耳（TREMELLA FUCIFORMIS）提取物,椰油酰胺丙基羟基磺基甜菜碱,羟乙磺酸钠,PEG-150 二硬脂酸酯,丙烯酸（酯）类/C10-30 烷醇丙烯酸酯交联聚合物,柠檬酸,羟乙基纤维素,氢氧化钾,（日用）香精,甲基氯异噻唑啉酮,椰油酰甘氨酸钠,甲基异噻唑啉酮,,,,,,,,,,甘油,,,,,,,,,,,硬脂酸,,,,,,,,,,,椰油酰羟乙磺酸酯钠,,山嵛醇,乙二醇二硬脂酸酯,月桂酸,氯化钠,,大宝,,,,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html
进口备案:国妆备进字J20151764,水,"1,3-丙二醇",柠檬酸,生物糖 胶-1,乙醇,甜菜碱,双-PEG-18 甲基醚二甲基硅烷,兰科植物(ORCHID)提取物,山茶(CAMELLIA JAPONICA)叶提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,鲸蜡硬脂醇橄榄油酸酯,茶(CAMELLIA SINENSIS)叶提取物,山梨坦橄榄油酸酯,PEG-60 氢化蓖麻油,茶(CAMELLIA SINENSIS)籽油,氢化卵磷脂,(日用)香精,丙烯酸(酯)类/C10-30 烷醇丙烯酸酯交联聚合物,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,乙基己基甘油,氢氧化钾,糊精,甘油,可可(THEOBROMA CACAO)提取物,EDTA 二钠,,,,,,,,,葡萄柚(CITRUS PARADISI)籽提取物,,,,,,,,,,,甜橙(CITRUS AURANTIUM DULCIS)果提取物,,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,大红桔(CITRUS TANGERINA)果,乳酸,抗坏血酸(维生素C),,innisfree,英文名称：Innisfree the green tea seed serum,,,https://www.bevol.cn/product/40569b748d9daea81ee48e20ff528efc.html
进口备案:国妆备进字J20151761,水,"1,3-丙二醇",香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,甜橙(CITRUS AURANTIUM DULCIS)果提取物,葡萄柚(CITRUS PARADISI)籽提取物,大红桔(CITRUS TANGERINA)果,双-PEG-18 甲基醚二甲基硅烷,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,PEG-60 氢化蓖麻油,甘油,乙基己基甘油,透明质酸钠,甘油聚醚-26,EDTA 二钠,乳酸,抗坏血酸(维生素C),柠檬酸,(日用)香精,,,,,,丁二醇,,,,,,,,,,,聚乙二醇-75,,,,,,,,,,,茶(CAMELLIA SINENSIS)叶提取物,,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,山茶(CAMELLIA JAPONICA)叶提取物,兰科植物(ORCHID)提取物,,innisfree,英文名称：Innisfree green tea moisture skin,,,https://www.bevol.cn/product/3a87ccc6cc12c39730c7a2c5b6f1ce6c.html
进口备案:国妆备进字J20114628,甘油,水,茶（CAMELLIA SINENSIS）叶提取物,乳酸,葡萄柚（CITRUS PARADISI）果提取物,甜橙（CITRUS AURANTIUM DULCIS）果提取物,香柠檬（CITRUS AURANTIUM BERGAMIA）果提取物,大红桔（CITRUS TANGERINA）果,兰科植物（ORCHID）提取物*,山茶（CAMELLIA JAPONICA）叶提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,硬脂酸,椰油酰胺丙基甜菜碱,PEG-100 硬脂酸酯,氯化钠,EDTA 二钠,海藻糖,抗坏血酸（维生素C）,柠檬酸,苯甲酸钠,（日用）香精,,肉豆蔻酸,,,,,,,,,,,聚乙二醇-32,,,,,,,,,,,氢氧化钾,,高岭土,月桂酸,"1,3-丙二醇",甘油硬脂酸酯,,innisfree,英文名称：Innisfree Green Tea Pure Cleansing Foam,,,https://www.bevol.cn/product/a4a9a3ff1265bd61f24e4d784e22266d.html
进口备案:国妆备进字J201310546,水,丁二醇,高岭土,CI 77947,甘油硬脂酸酯,鲸蜡硬脂醇,胡桃（JUGLANS REGIA）壳粉,玉米（ZEA MAYS）淀粉,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,山茶（CAMELLIA JAPONICA）叶提取物,兰科植物（ORCHID）提取物*,CI 77891,茶（CAMELLIA SINENSIS）叶提取物,肉豆蔻酸,花生酸,聚乙烯吡咯烷酮,PEG-100 硬脂酸酯,聚山梨醇酯-60,硬脂酸,棕榈酸,氢化植物油,黄原胶,火山灰,山梨坦硬脂酸酯,聚丙烯酸酯-13,甘露糖醇,微晶纤维素,乳酸,聚异丁烯,薄荷氧基丙二醇,乙基己基甘油,焦磷酸四钠,EDTA 二钠,甘油,聚山梨醇酯-20,山梨坦异硬脂酸酯,红色氧化铁,CI 77499,苯氧乙醇,,,,,,硅石,,海藻糖,辛酸/癸酸甘油三酯,膨润土,聚乙烯醇,,innisfree,英文名称：innisfree super volcanic pore clay mask,,,https://www.bevol.cn/product/dc9be7bb0883eb68ac991a0711fd75f9.html
beian,c_0,c_1,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_2,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_3,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_4,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_5,c_50,c_6,c_7,c_8,c_9,c_name,category,e_name,o_name,others,url
国产备案:京G妆网备字2014002161,水,丙二醇,银耳（TREMELLA FUCIFORMIS）提取物,椰油酰胺丙基羟基磺基甜菜碱,羟乙磺酸钠,PEG-150 二硬脂酸酯,丙烯酸（酯）类/C10-30 烷醇丙烯酸酯交联聚合物,柠檬酸,羟乙基纤维素,氢氧化钾,（日用）香精,甲基氯异噻唑啉酮,椰油酰甘氨酸钠,甲基异噻唑啉酮,,,,,,,,,,甘油,,,,,,,,,,,硬脂酸,,,,,,,,,,,椰油酰羟乙磺酸酯钠,,山嵛醇,乙二醇二硬脂酸酯,月桂酸,氯化钠,,大宝,,,,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html
进口备案:国妆备进字J20151764,水,"1,3-丙二醇",柠檬酸,生物糖 胶-1,乙醇,甜菜碱,双-PEG-18 甲基醚二甲基硅烷,兰科植物(ORCHID)提取物,山茶(CAMELLIA JAPONICA)叶提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,鲸蜡硬脂醇橄榄油酸酯,茶(CAMELLIA SINENSIS)叶提取物,山梨坦橄榄油酸酯,PEG-60 氢化蓖麻油,茶(CAMELLIA SINENSIS)籽油,氢化卵磷脂,(日用)香精,丙烯酸(酯)类/C10-30 烷醇丙烯酸酯交联聚合物,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,乙基己基甘油,氢氧化钾,糊精,甘油,可可(THEOBROMA CACAO)提取物,EDTA 二钠,,,,,,,,,葡萄柚(CITRUS PARADISI)籽提取物,,,,,,,,,,,甜橙(CITRUS AURANTIUM DULCIS)果提取物,,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,大红桔(CITRUS TANGERINA)果,乳酸,抗坏血酸(维生素C),,innisfree,英文名称：Innisfree the green tea seed serum,,,https://www.bevol.cn/product/40569b748d9daea81ee48e20ff528efc.html
进口备案:国妆备进字J20151761,水,"1,3-丙二醇",香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,甜橙(CITRUS AURANTIUM DULCIS)果提取物,葡萄柚(CITRUS PARADISI)籽提取物,大红桔(CITRUS TANGERINA)果,双-PEG-18 甲基醚二甲基硅烷,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,PEG-60 氢化蓖麻油,甘油,乙基己基甘油,透明质酸钠,甘油聚醚-26,EDTA 二钠,乳酸,抗坏血酸(维生素C),柠檬酸,(日用)香精,,,,,,丁二醇,,,,,,,,,,,聚乙二醇-75,,,,,,,,,,,茶(CAMELLIA SINENSIS)叶提取物,,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,山茶(CAMELLIA JAPONICA)叶提取物,兰科植物(ORCHID)提取物,,innisfree,英文名称：Innisfree green tea moisture skin,,,https://www.bevol.cn/product/3a87ccc6cc12c39730c7a2c5b6f1ce6c.html
进口备案:国妆备进字J20114628,甘油,水,茶（CAMELLIA SINENSIS）叶提取物,乳酸,葡萄柚（CITRUS PARADISI）果提取物,甜橙（CITRUS AURANTIUM DULCIS）果提取物,香柠檬（CITRUS AURANTIUM BERGAMIA）果提取物,大红桔（CITRUS TANGERINA）果,兰科植物（ORCHID）提取物*,山茶（CAMELLIA JAPONICA）叶提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,硬脂酸,椰油酰胺丙基甜菜碱,PEG-100 硬脂酸酯,氯化钠,EDTA 二钠,海藻糖,抗坏血酸（维生素C）,柠檬酸,苯甲酸钠,（日用）香精,,肉豆蔻酸,,,,,,,,,,,聚乙二醇-32,,,,,,,,,,,氢氧化钾,,高岭土,月桂酸,"1,3-丙二醇",甘油硬脂酸酯,,innisfree,英文名称：Innisfree Green Tea Pure Cleansing Foam,,,https://www.bevol.cn/product/a4a9a3ff1265bd61f24e4d784e22266d.html
进口备案:国妆备进字J201310546,水,丁二醇,高岭土,CI 77947,甘油硬脂酸酯,鲸蜡硬脂醇,胡桃（JUGLANS REGIA）壳粉,玉米（ZEA MAYS）淀粉,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,山茶（CAMELLIA JAPONICA）叶提取物,兰科植物（ORCHID）提取物*,CI 77891,茶（CAMELLIA SINENSIS）叶提取物,肉豆蔻酸,花生酸,聚乙烯吡咯烷酮,PEG-100 硬脂酸酯,聚山梨醇酯-60,硬脂酸,棕榈酸,氢化植物油,黄原胶,火山灰,山梨坦硬脂酸酯,聚丙烯酸酯-13,甘露糖醇,微晶纤维素,乳酸,聚异丁烯,薄荷氧基丙二醇,乙基己基甘油,焦磷酸四钠,EDTA 二钠,甘油,聚山梨醇酯-20,山梨坦异硬脂酸酯,红色氧化铁,CI 77499,苯氧乙醇,,,,,,硅石,,海藻糖,辛酸/癸酸甘油三酯,膨润土,聚乙烯醇,,innisfree,英文名称：innisfree super volcanic pore clay mask,,,https://www.bevol.cn/product/dc9be7bb0883eb68ac991a0711fd75f9.html
beian,c_0,c_1,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_2,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_3,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_4,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_5,c_50,c_6,c_7,c_8,c_9,c_name,category,e_name,o_name,others,url
国产备案:京G妆网备字2014002161,水,丙二醇,银耳（TREMELLA FUCIFORMIS）提取物,椰油酰胺丙基羟基磺基甜菜碱,羟乙磺酸钠,PEG-150 二硬脂酸酯,丙烯酸（酯）类/C10-30 烷醇丙烯酸酯交联聚合物,柠檬酸,羟乙基纤维素,氢氧化钾,（日用）香精,甲基氯异噻唑啉酮,椰油酰甘氨酸钠,甲基异噻唑啉酮,,,,,,,,,,甘油,,,,,,,,,,,硬脂酸,,,,,,,,,,,椰油酰羟乙磺酸酯钠,,山嵛醇,乙二醇二硬脂酸酯,月桂酸,氯化钠,,大宝,,,,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html
进口备案:国妆备进字J20151764,水,"1,3-丙二醇",柠檬酸,生物糖 胶-1,乙醇,甜菜碱,双-PEG-18 甲基醚二甲基硅烷,兰科植物(ORCHID)提取物,山茶(CAMELLIA JAPONICA)叶提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,鲸蜡硬脂醇橄榄油酸酯,茶(CAMELLIA SINENSIS)叶提取物,山梨坦橄榄油酸酯,PEG-60 氢化蓖麻油,茶(CAMELLIA SINENSIS)籽油,氢化卵磷脂,(日用)香精,丙烯酸(酯)类/C10-30 烷醇丙烯酸酯交联聚合物,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,乙基己基甘油,氢氧化钾,糊精,甘油,可可(THEOBROMA CACAO)提取物,EDTA 二钠,,,,,,,,,葡萄柚(CITRUS PARADISI)籽提取物,,,,,,,,,,,甜橙(CITRUS AURANTIUM DULCIS)果提取物,,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,大红桔(CITRUS TANGERINA)果,乳酸,抗坏血酸(维生素C),,innisfree,英文名称：Innisfree the green tea seed serum,,,https://www.bevol.cn/product/40569b748d9daea81ee48e20ff528efc.html
进口备案:国妆备进字J20151761,水,"1,3-丙二醇",香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,甜橙(CITRUS AURANTIUM DULCIS)果提取物,葡萄柚(CITRUS PARADISI)籽提取物,大红桔(CITRUS TANGERINA)果,双-PEG-18 甲基醚二甲基硅烷,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,PEG-60 氢化蓖麻油,甘油,乙基己基甘油,透明质酸钠,甘油聚醚-26,EDTA 二钠,乳酸,抗坏血酸(维生素C),柠檬酸,(日用)香精,,,,,,丁二醇,,,,,,,,,,,聚乙二醇-75,,,,,,,,,,,茶(CAMELLIA SINENSIS)叶提取物,,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,山茶(CAMELLIA JAPONICA)叶提取物,兰科植物(ORCHID)提取物,,innisfree,英文名称：Innisfree green tea moisture skin,,,https://www.bevol.cn/product/3a87ccc6cc12c39730c7a2c5b6f1ce6c.html
进口备案:国妆备进字J20114628,甘油,水,茶（CAMELLIA SINENSIS）叶提取物,乳酸,葡萄柚（CITRUS PARADISI）果提取物,甜橙（CITRUS AURANTIUM DULCIS）果提取物,香柠檬（CITRUS AURANTIUM BERGAMIA）果提取物,大红桔（CITRUS TANGERINA）果,兰科植物（ORCHID）提取物*,山茶（CAMELLIA JAPONICA）叶提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,硬脂酸,椰油酰胺丙基甜菜碱,PEG-100 硬脂酸酯,氯化钠,EDTA 二钠,海藻糖,抗坏血酸（维生素C）,柠檬酸,苯甲酸钠,（日用）香精,,肉豆蔻酸,,,,,,,,,,,聚乙二醇-32,,,,,,,,,,,氢氧化钾,,高岭土,月桂酸,"1,3-丙二醇",甘油硬脂酸酯,,innisfree,英文名称：Innisfree Green Tea Pure Cleansing Foam,,,https://www.bevol.cn/product/a4a9a3ff1265bd61f24e4d784e22266d.html
进口备案:国妆备进字J201310546,水,丁二醇,高岭土,CI 77947,甘油硬脂酸酯,鲸蜡硬脂醇,胡桃（JUGLANS REGIA）壳粉,玉米（ZEA MAYS）淀粉,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,山茶（CAMELLIA JAPONICA）叶提取物,兰科植物（ORCHID）提取物*,CI 77891,茶（CAMELLIA SINENSIS）叶提取物,肉豆蔻酸,花生酸,聚乙烯吡咯烷酮,PEG-100 硬脂酸酯,聚山梨醇酯-60,硬脂酸,棕榈酸,氢化植物油,黄原胶,火山灰,山梨坦硬脂酸酯,聚丙烯酸酯-13,甘露糖醇,微晶纤维素,乳酸,聚异丁烯,薄荷氧基丙二醇,乙基己基甘油,焦磷酸四钠,EDTA 二钠,甘油,聚山梨醇酯-20,山梨坦异硬脂酸酯,红色氧化铁,CI 77499,苯氧乙醇,,,,,,硅石,,海藻糖,辛酸/癸酸甘油三酯,膨润土,聚乙烯醇,,innisfree,英文名称：innisfree super volcanic pore clay mask,,,https://www.bevol.cn/product/dc9be7bb0883eb68ac991a0711fd75f9.html
beian,c_0,c_1,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_2,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_3,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_4,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_5,c_50,c_6,c_7,c_8,c_9,c_name,category,e_name,o_name,others,url
国产备案:京G妆网备字2014002161,水,丙二醇,银耳（TREMELLA FUCIFORMIS）提取物,椰油酰胺丙基羟基磺基甜菜碱,羟乙磺酸钠,PEG-150 二硬脂酸酯,丙烯酸（酯）类/C10-30 烷醇丙烯酸酯交联聚合物,柠檬酸,羟乙基纤维素,氢氧化钾,（日用）香精,甲基氯异噻唑啉酮,椰油酰甘氨酸钠,甲基异噻唑啉酮,,,,,,,,,,甘油,,,,,,,,,,,硬脂酸,,,,,,,,,,,椰油酰羟乙磺酸酯钠,,山嵛醇,乙二醇二硬脂酸酯,月桂酸,氯化钠,,大宝,,,,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html
进口备案:国妆备进字J20151764,水,"1,3-丙二醇",柠檬酸,生物糖 胶-1,乙醇,甜菜碱,双-PEG-18 甲基醚二甲基硅烷,兰科植物(ORCHID)提取物,山茶(CAMELLIA JAPONICA)叶提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,鲸蜡硬脂醇橄榄油酸酯,茶(CAMELLIA SINENSIS)叶提取物,山梨坦橄榄油酸酯,PEG-60 氢化蓖麻油,茶(CAMELLIA SINENSIS)籽油,氢化卵磷脂,(日用)香精,丙烯酸(酯)类/C10-30 烷醇丙烯酸酯交联聚合物,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,乙基己基甘油,氢氧化钾,糊精,甘油,可可(THEOBROMA CACAO)提取物,EDTA 二钠,,,,,,,,,葡萄柚(CITRUS PARADISI)籽提取物,,,,,,,,,,,甜橙(CITRUS AURANTIUM DULCIS)果提取物,,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,大红桔(CITRUS TANGERINA)果,乳酸,抗坏血酸(维生素C),,innisfree,英文名称：Innisfree the green tea seed serum,,,https://www.bevol.cn/product/40569b748d9daea81ee48e20ff528efc.html
进口备案:国妆备进字J20151761,水,"1,3-丙二醇",香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,甜橙(CITRUS AURANTIUM DULCIS)果提取物,葡萄柚(CITRUS PARADISI)籽提取物,大红桔(CITRUS TANGERINA)果,双-PEG-18 甲基醚二甲基硅烷,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,PEG-60 氢化蓖麻油,甘油,乙基己基甘油,透明质酸钠,甘油聚醚-26,EDTA 二钠,乳酸,抗坏血酸(维生素C),柠檬酸,(日用)香精,,,,,,丁二醇,,,,,,,,,,,聚乙二醇-75,,,,,,,,,,,茶(CAMELLIA SINENSIS)叶提取物,,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,山茶(CAMELLIA JAPONICA)叶提取物,兰科植物(ORCHID)提取物,,innisfree,英文名称：Innisfree green tea moisture skin,,,https://www.bevol.cn/product/3a87ccc6cc12c39730c7a2c5b6f1ce6c.html
进口备案:国妆备进字J20114628,甘油,水,茶（CAMELLIA SINENSIS）叶提取物,乳酸,葡萄柚（CITRUS PARADISI）果提取物,甜橙（CITRUS AURANTIUM DULCIS）果提取物,香柠檬（CITRUS AURANTIUM BERGAMIA）果提取物,大红桔（CITRUS TANGERINA）果,兰科植物（ORCHID）提取物*,山茶（CAMELLIA JAPONICA）叶提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,硬脂酸,椰油酰胺丙基甜菜碱,PEG-100 硬脂酸酯,氯化钠,EDTA 二钠,海藻糖,抗坏血酸（维生素C）,柠檬酸,苯甲酸钠,（日用）香精,,肉豆蔻酸,,,,,,,,,,,聚乙二醇-32,,,,,,,,,,,氢氧化钾,,高岭土,月桂酸,"1,3-丙二醇",甘油硬脂酸酯,,innisfree,英文名称：Innisfree Green Tea Pure Cleansing Foam,,,https://www.bevol.cn/product/a4a9a3ff1265bd61f24e4d784e22266d.html
进口备案:国妆备进字J201310546,水,丁二醇,高岭土,CI 77947,甘油硬脂酸酯,鲸蜡硬脂醇,胡桃（JUGLANS REGIA）壳粉,玉米（ZEA MAYS）淀粉,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,山茶（CAMELLIA JAPONICA）叶提取物,兰科植物（ORCHID）提取物*,CI 77891,茶（CAMELLIA SINENSIS）叶提取物,肉豆蔻酸,花生酸,聚乙烯吡咯烷酮,PEG-100 硬脂酸酯,聚山梨醇酯-60,硬脂酸,棕榈酸,氢化植物油,黄原胶,火山灰,山梨坦硬脂酸酯,聚丙烯酸酯-13,甘露糖醇,微晶纤维素,乳酸,聚异丁烯,薄荷氧基丙二醇,乙基己基甘油,焦磷酸四钠,EDTA 二钠,甘油,聚山梨醇酯-20,山梨坦异硬脂酸酯,红色氧化铁,CI 77499,苯氧乙醇,,,,,,硅石,,海藻糖,辛酸/癸酸甘油三酯,膨润土,聚乙烯醇,,innisfree,英文名称：innisfree super volcanic pore clay mask,,,https://www.bevol.cn/product/dc9be7bb0883eb68ac991a0711fd75f9.html
beian,c_0,c_1,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_2,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_3,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_4,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_5,c_50,c_6,c_7,c_8,c_9,c_name0,c_name1,category,e_name,o_name,others,url
国产备案:京G妆网备字2014002161,水,丙二醇,银耳（TREMELLA FUCIFORMIS）提取物,椰油酰胺丙基羟基磺基甜菜碱,羟乙磺酸钠,PEG-150 二硬脂酸酯,丙烯酸（酯）类/C10-30 烷醇丙烯酸酯交联聚合物,柠檬酸,羟乙基纤维素,氢氧化钾,（日用）香精,甲基氯异噻唑啉酮,椰油酰甘氨酸钠,甲基异噻唑啉酮,,,,,,,,,,甘油,,,,,,,,,,,硬脂酸,,,,,,,,,,,椰油酰羟乙磺酸酯钠,,山嵛醇,乙二醇二硬脂酸酯,月桂酸,氯化钠, / ,,大宝,,,,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html
进口备案:国妆备进字J20151764,水,"1,3-丙二醇",柠檬酸,生物糖 胶-1,乙醇,甜菜碱,双-PEG-18 甲基醚二甲基硅烷,兰科植物(ORCHID)提取物,山茶(CAMELLIA JAPONICA)叶提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,鲸蜡硬脂醇橄榄油酸酯,茶(CAMELLIA SINENSIS)叶提取物,山梨坦橄榄油酸酯,PEG-60 氢化蓖麻油,茶(CAMELLIA SINENSIS)籽油,氢化卵磷脂,(日用)香精,丙烯酸(酯)类/C10-30 烷醇丙烯酸酯交联聚合物,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,乙基己基甘油,氢氧化钾,糊精,甘油,可可(THEOBROMA CACAO)提取物,EDTA 二钠,,,,,,,,,葡萄柚(CITRUS PARADISI)籽提取物,,,,,,,,,,,甜橙(CITRUS AURANTIUM DULCIS)果提取物,,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,大红桔(CITRUS TANGERINA)果,乳酸,抗坏血酸(维生素C), / ,,innisfree,英文名称：Innisfree the green tea seed serum,,,https://www.bevol.cn/product/40569b748d9daea81ee48e20ff528efc.html
进口备案:国妆备进字J20151761,水,"1,3-丙二醇",香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,甜橙(CITRUS AURANTIUM DULCIS)果提取物,葡萄柚(CITRUS PARADISI)籽提取物,大红桔(CITRUS TANGERINA)果,双-PEG-18 甲基醚二甲基硅烷,丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物,PEG-60 氢化蓖麻油,甘油,乙基己基甘油,透明质酸钠,甘油聚醚-26,EDTA 二钠,乳酸,抗坏血酸(维生素C),柠檬酸,(日用)香精,,,,,,丁二醇,,,,,,,,,,,聚乙二醇-75,,,,,,,,,,,茶(CAMELLIA SINENSIS)叶提取物,,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,山茶(CAMELLIA JAPONICA)叶提取物,兰科植物(ORCHID)提取物, / ,,innisfree,英文名称：Innisfree green tea moisture skin,,,https://www.bevol.cn/product/3a87ccc6cc12c39730c7a2c5b6f1ce6c.html
进口备案:国妆备进字J20114628,甘油,水,茶（CAMELLIA SINENSIS）叶提取物,乳酸,葡萄柚（CITRUS PARADISI）果提取物,甜橙（CITRUS AURANTIUM DULCIS）果提取物,香柠檬（CITRUS AURANTIUM BERGAMIA）果提取物,大红桔（CITRUS TANGERINA）果,兰科植物（ORCHID）提取物*,山茶（CAMELLIA JAPONICA）叶提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,硬脂酸,椰油酰胺丙基甜菜碱,PEG-100 硬脂酸酯,氯化钠,EDTA 二钠,海藻糖,抗坏血酸（维生素C）,柠檬酸,苯甲酸钠,（日用）香精,,肉豆蔻酸,,,,,,,,,,,聚乙二醇-32,,,,,,,,,,,氢氧化钾,,高岭土,月桂酸,"1,3-丙二醇",甘油硬脂酸酯, / ,,innisfree,英文名称：Innisfree Green Tea Pure Cleansing Foam,,,https://www.bevol.cn/product/a4a9a3ff1265bd61f24e4d784e22266d.html
进口备案:国妆备进字J201310546,水,丁二醇,高岭土,CI 77947,甘油硬脂酸酯,鲸蜡硬脂醇,胡桃（JUGLANS REGIA）壳粉,玉米（ZEA MAYS）淀粉,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,山茶（CAMELLIA JAPONICA）叶提取物,兰科植物（ORCHID）提取物*,CI 77891,茶（CAMELLIA SINENSIS）叶提取物,肉豆蔻酸,花生酸,聚乙烯吡咯烷酮,PEG-100 硬脂酸酯,聚山梨醇酯-60,硬脂酸,棕榈酸,氢化植物油,黄原胶,火山灰,山梨坦硬脂酸酯,聚丙烯酸酯-13,甘露糖醇,微晶纤维素,乳酸,聚异丁烯,薄荷氧基丙二醇,乙基己基甘油,焦磷酸四钠,EDTA 二钠,甘油,聚山梨醇酯-20,山梨坦异硬脂酸酯,红色氧化铁,CI 77499,苯氧乙醇,,,,,,硅石,,海藻糖,辛酸/癸酸甘油三酯,膨润土,聚乙烯醇, / ,,innisfree,英文名称：innisfree super volcanic pore clay mask,,,https://www.bevol.cn/product/dc9be7bb0883eb68ac991a0711fd75f9.html
